key,reason,record_type,source
ETH/USDT/307492626,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492627,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492628,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492629,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492630,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492631,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492632,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492633,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492634,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492635,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492636,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492637,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492638,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492639,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492640,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492641,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492642,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492643,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492644,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492645,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492646,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
